slug,name,showBooking
21-barber,"21 BARBER",false
29-market-place-barber-and-shop,"29 Market Place Barber & Shop",false
4-guys-barbers,"4 guys barbers",false
4k-barber,"4k barber",false
4tw-4the-weekend-barbershop,"4TW 4The Weekend Barbershop",false
5-star-barbers,"5 Star Barbers",false
a-star-barbers,"A Star Barbers",false
a-star-barbers-shrewsbury,"A Star Barbers",false
aa-star-barbers,"AA Star Barbers",false
aabids-professional-cuts,"Aabid's Professional Cuts",false
aafee-barbers-ltd,"aafee barbers ltd",false
aandb-barbers,"A&B Barbers",false
aandm-barber,"A&M barber",false
aandm-turkish-barber-club,"A&M Turkish Barber club",false
aarons-barbers,"Aaron's Barbers",false
abbey-unisex-salon,"Abbey Unisex salon.",false
abdullah-barber-shop,"ABDULLAH BARBER SHOP",false
ace-barber-club,"Ace Barber club",false
ace-of-fades,"ACE OF FADES",false
ace-of-fades-bradford,"Ace Of Fades Bradford",false
ace-of-fadez,"Ace of Fadez",false
adam-barber,"Adam Barber",false
adam-barber-chaddesden,"ADAM BARBER Chaddesden",false
adam-barbers,"Adam Barbers",false
adams-cut-barber-shop,"Adams Cut Barber Shop",false
ads-barbers,"AD's barbers",false
adszy-barberz,"ADSZY BARBERZ",false
ahmed-barbers,"Ahmed Barbers",false
aj-barber,"AJ Barber",false
ako-barber,"Ako Barber",false
alan-cutz,"ALAN CUTZ",false
alans-barber-shop,"Alan's Barber Shop",false
alans-barbers,"Alan's Barber's",false
alans-cut,"Alan’s Cut",false
alermann-grooming-and-pet-supplies,"Alermann Grooming and Pet Supplies",false
alesi-studios-premium-image,"ALESI STUDIOS - Premium Image",false
alex-barbers,"Alex Barbers",false
alex-barbers-sunderland,"Alex Barbers - Sunderland",false
alex-hair-design,"Alex Hair Design",false
alexandresbarb,"Alexandresbarb",false
alfies-barbershop,"Alfies Barbershop",false
ali-barbers,"ALI BARBERS",false
ali-barbershop,"Ali Barbershop",false
alis-barber-shop,"Alis Barber Shop",false
alis-barbers,"Ali's Barbers",false
alis-super-cut,"ALis Super Cut",false
all-nations-barbers-shop,"All Nations Barbers Shop",false
allan-supercut-ltd,"Allan SuperCut LTD",false
allesley-barber-ltd,"Allesley barber LTD",false
allstar-barberz,"Allstar Barberz",false
amad-barber,"Amad barber",false
amines-cut,"Amine’s cut",false
amington-barbers,"Amington Barbers",false
amins-barbers-club,"Amin's Barbers Club",false
amirs,"Amir's",false
andrew-s-barbers,"Andrew's Barbers",false
angel-barber-shop,"Angel Barber Shop",false
anis-barbers,"Anis barbers",false
antalya-barber,"Antalya barber",false
antalya-barber-burton-on-trent,"ANTALYA BARBER",false
antalya-barber-cannock,"Antalya barber cannock",false
antalya-barbers,"Antalya Barbers",false
antalya-magic-cuts,"Antalya Magic Cuts",false
antonio-barber-shop-by-mike,"Antonio Barber Shop by Mike",false
anystyle-barbers,"Anystyle Barbers",false
apos-barbershop,"APO’S BARBERSHOP",false
ar-tarn-barbers,"Ar Tarn Barbers",false
